week,women_nonbetrayal_fit,women_betrayal_fit,men_nonbetrayal_fit,men_betrayal_fit
0.0,90.0,100.0,80.0,90.0
0.347,86.5777,97.3632,77.356,87.9982
0.693,83.2956,94.8159,74.8236,86.0736
1.04,80.1479,92.3551,72.3981,84.2231
1.387,77.1291,89.9778,70.0751,82.4438
1.733,74.234,87.6812,67.8502,80.7331
2.08,71.4576,85.4627,65.7193,79.0883
2.427,68.7948,83.3194,63.6783,77.5068
2.773,66.2411,81.2489,61.7236,75.9863
3.12,63.7921,79.2487,59.8514,74.5243
3.467,61.4433,77.3165,58.0582,73.1187
3.813,59.1908,75.4498,56.3408,71.7671
4.16,57.0305,73.6465,54.6959,70.4677
4.507,54.9587,71.9044,53.1205,69.2183
4.853,52.9718,70.2215,51.6116,68.017
5.2,51.0663,68.5958,50.1664,66.862
5.547,49.2389,67.0252,48.7823,65.7515
5.893,47.4863,65.5079,47.4566,64.6837
6.24,45.8055,64.0422,46.1869,63.6571
6.587,44.1935,62.6262,44.9708,62.67
6.933,42.6476,61.2583,43.8061,61.721
7.28,41.165,59.9368,42.6906,60.8085
7.627,39.7432,58.6603,41.6222,59.9311
7.973,38.3795,57.427,40.5989,59.0876
8.32,37.0718,56.2356,39.6188,58.2765
8.667,35.8176,55.0847,38.6801,57.4967
9.013,34.6148,53.9729,37.781,56.7469
9.36,33.4612,52.8988,36.92,56.026
9.707,32.355,51.8611,36.0952,55.3329
10.053,31.294,50.8587,35.3053,54.6665
10.4,30.2765,49.8904,34.5488,54.0257
10.747,29.3006,48.9549,33.8242,53.4096
11.093,28.3648,48.0511,33.1302,52.8172
11.44,27.4673,47.1781,32.4656,52.2477
11.787,26.6065,46.3347,31.829,51.7001
12.133,25.781,45.5199,31.2192,51.1736
12.48,24.9894,44.7328,30.6353,50.6674
12.827,24.2301,43.9725,30.076,50.1807
13.173,23.502,43.2379,29.5403,49.7127
13.52,22.8036,42.5283,29.0272,49.2627
13.867,22.1339,41.8427,28.5358,48.8301
14.213,21.4916,41.1805,28.0652,48.4141
14.56,20.8757,40.5407,27.6144,48.0142
14.907,20.2849,39.9227,27.1827,47.6297
15.253,19.7184,39.3256,26.7692,47.26
15.6,19.1751,38.7488,26.3731,46.9045
15.947,18.654,38.1916,25.9938,46.5627
16.293,18.1543,37.6533,25.6305,46.2341
16.64,17.675,37.1333,25.2826,45.9181
16.987,17.2154,36.631,24.9493,45.6143
17.333,16.7746,36.1457,24.6301,45.3222
17.68,16.3518,35.6768,24.3244,45.0414
18.027,15.9464,35.2239,24.0316,44.7714
18.373,15.5576,34.7864,23.7512,44.5117
18.72,15.1847,34.3637,23.4826,44.2621
19.067,14.8271,33.9554,23.2254,44.0221
19.413,14.4841,33.5609,22.979,43.7913
19.76,14.1552,33.1799,22.743,43.5695
20.107,13.8398,32.8117,22.517,43.3561
20.453,13.5373,32.4561,22.3005,43.151
20.8,13.2471,32.1126,22.0932,42.9538
21.147,12.9689,31.7807,21.8946,42.7642
21.493,12.702,31.46,21.7045,42.5819
21.84,12.4461,31.1503,21.5223,42.4066
22.187,12.2007,30.8511,21.3478,42.2381
22.533,11.9653,30.562,21.1808,42.076
22.88,11.7396,30.2828,21.0207,41.9202
23.227,11.5231,30.013,20.8674,41.7704
23.573,11.3155,29.7524,20.7206,41.6264
23.92,11.1164,29.5006,20.58,41.4879
24.267,10.9254,29.2574,20.4454,41.3548
24.613,10.7423,29.0225,20.3164,41.2268
24.96,10.5666,28.7955,20.1929,41.1037
25.307,10.3982,28.5762,20.0746,40.9853
25.653,10.2366,28.3644,19.9612,40.8715
26.0,10.0817,28.1598,19.8527,40.7621
26.347,9.9331,27.9621,19.7488,40.6569
26.693,9.7906,27.7711,19.6492,40.5558
27.04,9.654,27.5866,19.5538,40.4585
27.387,9.5229,27.4084,19.4625,40.365
27.733,9.3973,27.2362,19.375,40.2752
28.08,9.2767,27.0699,19.2913,40.1887
28.427,9.1611,26.9092,19.211,40.1056
28.773,9.0502,26.754,19.1342,40.0257
29.12,8.9439,26.604,19.0606,39.9489
29.467,8.842,26.4592,18.9901,39.875
29.813,8.7442,26.3192,18.9226,39.804
30.16,8.6504,26.184,18.8579,39.7357
30.507,8.5604,26.0534,18.796,39.6701
30.853,8.4742,25.9273,18.7366,39.6069
31.2,8.3914,25.8054,18.6798,39.5462
31.547,8.3121,25.6876,18.6254,39.4879
31.893,8.236,25.5739,18.5733,39.4318
32.24,8.163,25.464,18.5234,39.3778
32.587,8.0931,25.3578,18.4756,39.3259
32.933,8.026,25.2553,18.4298,39.2761
